goClass	level
GO:0002142	L4
GO:0002144	L4
GO:0002167	L4
GO:0002193	L4
GO:0002199	L4
GO:0002929	L4
GO:0005577	L4
GO:0005581	L4
GO:0005601	L4
GO:0005602	L4
GO:0005616	L4
GO:0005643	L4
GO:0005662	L4
GO:0005663	L4
GO:0005667	L4
GO:0005677	L4
GO:0005831	L4
GO:0005833	L4
GO:0005835	L4
GO:0005838	L4
GO:0005839	L4
GO:0005849	L4
GO:0005850	L4
GO:0005851	L4
GO:0005852	L4
GO:0005853	L4
GO:0005854	L4
GO:0005861	L4
GO:0005862	L4
GO:0005875	L4
GO:0005885	L4
GO:0005931	L4
GO:0008023	L4
GO:0008074	L4
GO:0008091	L4
GO:0008180	L4
GO:0008278	L4
GO:0008290	L4
GO:0008537	L4
GO:0008540	L4
GO:0008541	L4
GO:0009344	L4
GO:0009346	L4
GO:0010316	L4
GO:0010317	L4
GO:0010318	L4
GO:0015627	L4
GO:0016272	L4
GO:0016281	L4
GO:0016459	L4
GO:0016592	L4
GO:0017086	L4
GO:0017102	L4
GO:0017177	L4
GO:0018444	L4
GO:0019008	L4
GO:0019035	L4
GO:0019036	L4
GO:0019197	L4
GO:0019773	L4
GO:0019774	L4
GO:0019814	L4
GO:0022623	L4
GO:0022624	L4
GO:0030015	L4
GO:0030080	L4
GO:0030081	L4
GO:0030082	L4
GO:0030256	L4
GO:0030257	L4
GO:0030314	L4
GO:0030689	L4
GO:0030870	L4
GO:0030877	L4
GO:0030895	L4
GO:0030896	L4
GO:0030929	L4
GO:0030990	L4
GO:0030991	L4
GO:0030992	L4
GO:0030993	L4
GO:0031080	L4
GO:0031082	L4
GO:0031105	L4
GO:0031209	L4
GO:0031250	L4
GO:0031251	L4
GO:0031262	L4
GO:0031298	L4
GO:0031389	L4
GO:0031390	L4
GO:0031395	L4
GO:0031422	L4
GO:0031499	L4
GO:0031511	L4
GO:0031518	L4
GO:0031519	L4
GO:0031521	L4
GO:0031522	L4
GO:0031523	L4
GO:0031617	L4
GO:0031680	L4
GO:0031838	L4
GO:0031941	L4
GO:0032039	L4
GO:0032116	L4
GO:0032311	L4
GO:0032449	L4
GO:0032545	L4
GO:0032766	L4
GO:0032807	L4
GO:0032992	L4
GO:0032993	L4
GO:0032994	L4
GO:0033061	L4
GO:0033104	L4
GO:0033186	L4
GO:0033193	L4
GO:0033551	L4
GO:0033557	L4
GO:0033596	L4
GO:0033597	L4
GO:0034044	L4
GO:0034064	L4
GO:0034081	L4
GO:0034099	L4
GO:0034270	L4
GO:0034388	L4
GO:0034455	L4
GO:0034456	L4
GO:0034457	L4
GO:0034464	L4
GO:0034518	L4
GO:0034663	L4
GO:0034692	L4
GO:0034741	L4
GO:0034743	L4
GO:0034744	L4
GO:0034745	L4
GO:0034746	L4
GO:0034748	L4
GO:0034749	L4
GO:0034750	L4
GO:0034973	L4
GO:0034974	L4
GO:0034978	L4
GO:0034996	L4
GO:0035059	L4
GO:0035145	L4
GO:0035649	L4
GO:0035658	L4
GO:0035693	L4
GO:0035808	L4
GO:0035859	L4
GO:0036038	L4
GO:0036125	L4
GO:0036284	L4
GO:0036286	L4
GO:0036375	L4
GO:0036398	L4
GO:0036452	L4
GO:0036454	L4
GO:0036501	L4
GO:0038045	L4
GO:0038059	L4
GO:0039658	L4
GO:0042272	L4
GO:0042555	L4
GO:0043235	L4
GO:0043240	L4
GO:0043256	L4
GO:0043291	L4
GO:0043293	L4
GO:0043493	L4
GO:0043511	L4
GO:0043514	L4
GO:0043529	L4
GO:0043564	L4
GO:0043684	L4
GO:0043845	L4
GO:0043846	L4
GO:0043847	L4
GO:0043850	L4
GO:0044611	L4
GO:0044612	L4
GO:0044613	L4
GO:0044614	L4
GO:0044615	L4
GO:0044672	L4
GO:0044675	L4
GO:0044676	L4
GO:0044677	L4
GO:0044697	L4
GO:0044776	L4
GO:0044777	L4
GO:0044815	L4
GO:0044816	L4
GO:0045239	L4
GO:0045293	L4
GO:0045298	L4
GO:0046536	L4
GO:0046798	L4
GO:0046806	L4
GO:0048180	L4
GO:0048189	L4
GO:0055087	L4
