KOG	KOGID
O	KOG3083
L	KOG3084
R	KOG3085
R	KOG3086
R	KOG3087
U	KOG3088
R	KOG3089
O	KOG3090
Y	KOG3091
U	KOG3091
T	KOG3092
D	KOG3092
K	KOG3092
H	KOG3093
S	KOG3094
K	KOG3095
S	KOG3096
S	KOG3097
S	KOG3098
F	KOG3099
S	KOG3100
R	KOG3101
S	KOG3102
U	KOG3103
K	KOG3104
B	KOG3105
D	KOG3105
U	KOG3106
R	KOG3107
L	KOG3108
R	KOG3109
H	KOG3110
G	KOG3111
S	KOG3112
S	KOG3113
S	KOG3114
R	KOG3115
R	KOG3116
A	KOG3117
B	KOG3118
K	KOG3119
R	KOG3120
Z	KOG3121
K	KOG3122
J	KOG3123
E	KOG3124
F	KOG3125
P	KOG3126
F	KOG3127
S	KOG3128
O	KOG3129
S	KOG3130
S	KOG3131
A	KOG3132
U	KOG3133
S	KOG3134
R	KOG3135
S	KOG3136
J	KOG3137
R	KOG3138
R	KOG3139
S	KOG3140
J	KOG3141
U	KOG3142
E	KOG3143
M	KOG3144
O	KOG3144
E	KOG3145
I	KOG3146
G	KOG3147
G	KOG3148
K	KOG3149
S	KOG3150
O	KOG3151
K	KOG3152
H	KOG3153
S	KOG3154
Z	KOG3155
S	KOG3156
R	KOG3157
O	KOG3158
H	KOG3159
O	KOG3160
O	KOG3161
J	KOG3162
R	KOG3163
R	KOG3164
R	KOG3165
J	KOG3166
A	KOG3167
K	KOG3168
K	KOG3169
T	KOG3170
T	KOG3171
A	KOG3172
R	KOG3173
Z	KOG3174
R	KOG3175
L	KOG3176
I	KOG3177
R	KOG3178
F	KOG3179
C	KOG3180
J	KOG3181
P	KOG3182
R	KOG3183
J	KOG3184
J	KOG3185
D	KOG3186
R	KOG3187
S	KOG3188
I	KOG3189
S	KOG3190
J	KOG3191
O	KOG3192
P	KOG3193
D	KOG3194
L	KOG3194
R	KOG3195
C	KOG3196
R	KOG3197
U	KOG3198
H	KOG3199
S	KOG3200
S	KOG3201
U	KOG3202
J	KOG3203
J	KOG3204
T	KOG3205
O	KOG3206
O	KOG3207
U	KOG3208
R	KOG3209
H	KOG3210
R	KOG3211
S	KOG3212
K	KOG3213
S	KOG3214
S	KOG3215
E	KOG3216
T	KOG3217
K	KOG3218
K	KOG3219
H	KOG3220
G	KOG3221
F	KOG3222
S	KOG3223
S	KOG3224
U	KOG3225
L	KOG3226
K	KOG3227
S	KOG3228
U	KOG3229
U	KOG3230
U	KOG3231
U	KOG3232
K	KOG3233
R	KOG3234
R	KOG3235
S	KOG3236
S	KOG3237
P	KOG3238
R	KOG3239
I	KOG3240
S	KOG3241
A	KOG3242
H	KOG3243
H	KOG3244
S	KOG3245
R	KOG3246
S	KOG3247
K	KOG3248
S	KOG3249
O	KOG3250
T	KOG3250
U	KOG3251
S	KOG3252
R	KOG3253
J	KOG3254
J	KOG3255
C	KOG3256
J	KOG3257
O	KOG3258
O	KOG3259
T	KOG3260
S	KOG3261
J	KOG3262
R	KOG3263
S	KOG3264
K	KOG3265
B	KOG3265
E	KOG3266
S	KOG3267
O	KOG3268
S	KOG3269
S	KOG3270
J	KOG3271
R	KOG3272
O	KOG3273
S	KOG3274
T	KOG3275
S	KOG3276
S	KOG3277
J	KOG3278
S	KOG3279
J	KOG3280
O	KOG3281
S	KOG3282
J	KOG3283
U	KOG3284
D	KOG3285
Z	KOG3285
R	KOG3286
U	KOG3287
T	KOG3288
O	KOG3288
R	KOG3289
I	KOG3290
J	KOG3291
S	KOG3292
A	KOG3293
T	KOG3294
J	KOG3295
U	KOG3296
K	KOG3297
K	KOG3298
S	KOG3299
C	KOG3300
D	KOG3300
J	KOG3301
K	KOG3302
L	KOG3303
R	KOG3304
S	KOG3305
S	KOG3306
H	KOG3307
F	KOG3308
C	KOG3309
H	KOG3310
J	KOG3311
S	KOG3312
O	KOG3313
L	KOG3314
U	KOG3315
U	KOG3316
U	KOG3317
S	KOG3318
S	KOG3319
J	KOG3320
J	KOG3321
A	KOG3322
J	KOG3323
U	KOG3324
U	KOG3325
S	KOG3326
F	KOG3327
R	KOG3328
T	KOG3329
U	KOG3330
J	KOG3331
M	KOG3332
J	KOG3333
K	KOG3334
R	KOG3335
U	KOG3336
U	KOG3337
P	KOG3338
R	KOG3339
G	KOG3340
K	KOG3341
U	KOG3342
U	KOG3343
J	KOG3344
S	KOG3345
R	KOG3346
F	KOG3347
T	KOG3348
R	KOG3349
S	KOG3350
R	KOG3351
C	KOG3352
J	KOG3353
G	KOG3354
O	KOG3355
S	KOG3356
S	KOG3357
R	KOG3358
O	KOG3359
C	KOG3360
C	KOG3361
R	KOG3362
S	KOG3363
M	KOG3364
C	KOG3365
C	KOG3366
F	KOG3367
U	KOG3368
U	KOG3369
F	KOG3370
S	KOG3371
U	KOG3372
E	KOG3373
K	KOG3374
R	KOG3375
S	KOG3376
S	KOG3377
C	KOG3378
F	KOG3379
R	KOG3379
Z	KOG3380
S	KOG3381
C	KOG3382
S	KOG3383
R	KOG3384
U	KOG3385
P	KOG3386
A	KOG3387
J	KOG3387
L	KOG3388
C	KOG3389
K	KOG3390
K	KOG3391
A	KOG3392
S	KOG3393
R	KOG3394
S	KOG3395
M	KOG3396
R	KOG3397
K	KOG3398
R	KOG3399
K	KOG3400
J	KOG3401
S	KOG3402
J	KOG3403
K	KOG3404
K	KOG3405
J	KOG3406
S	KOG3407
A	KOG3408
J	KOG3409
S	KOG3410
J	KOG3411
J	KOG3412
P	KOG3413
A	KOG3414
D	KOG3414
U	KOG3415
R	KOG3416
T	KOG3417
J	KOG3418
J	KOG3419
J	KOG3420
J	KOG3421
J	KOG3422
K	KOG3423
J	KOG3424
S	KOG3425
C	KOG3426
K	KOG3427
A	KOG3428
J	KOG3429
Z	KOG3430
D	KOG3431
C	KOG3432
D	KOG3433
R	KOG3433
J	KOG3434
J	KOG3435
J	KOG3436
D	KOG3437
O	KOG3437
K	KOG3438
O	KOG3439
C	KOG3440
J	KOG3441
S	KOG3442
S	KOG3443
S	KOG3444
J	KOG3445
C	KOG3446
J	KOG3447
A	KOG3448
J	KOG3449
R	KOG3450
S	KOG3451
J	KOG3452
C	KOG3453
A	KOG3454
S	KOG3455
C	KOG3456
O	KOG3457
C	KOG3458
A	KOG3459
A	KOG3460
R	KOG3461
S	KOG3462
K	KOG3463
J	KOG3464
U	KOG3465
C	KOG3466
B	KOG3467
C	KOG3468
C	KOG3469
O	KOG3470
K	KOG3471
L	KOG3471
S	KOG3472
K	KOG3473
C	KOG3474
J	KOG3475
Z	KOG3476
C	KOG3477
O	KOG3478
U	KOG3479
U	KOG3480
S	KOG3481
A	KOG3482
S	KOG3483
D	KOG3484
S	KOG3485
J	KOG3486
U	KOG3487
O	KOG3488
U	KOG3489
K	KOG3490
S	KOG3491
J	KOG3492
O	KOG3493
C	KOG3494
C	KOG3495
O	KOG3496
K	KOG3497
U	KOG3498
J	KOG3499
C	KOG3500
O	KOG3501
J	KOG3502
A	KOG3503
J	KOG3504
J	KOG3505
J	KOG3506
K	KOG3507
R	KOG3508
O	KOG3509
T	KOG3510
R	KOG3511
T	KOG3512
T	KOG3513
T	KOG3514
R	KOG3515
T	KOG3516
K	KOG3517
R	KOG3518
T	KOG3519
T	KOG3520
T	KOG3521
T	KOG3522
T	KOG3523
T	KOG3524
O	KOG3525
O	KOG3526
R	KOG3527
S	KOG3528
R	KOG3529
R	KOG3530
T	KOG3531
R	KOG3532
T	KOG3533
R	KOG3534
T	KOG3535
R	KOG3536
T	KOG3537
O	KOG3538
W	KOG3539
R	KOG3540
T	KOG3541
T	KOG3542
T	KOG3543
W	KOG3544
W	KOG3545
W	KOG3546
R	KOG3547
L	KOG3548
W	KOG3549
W	KOG3550
W	KOG3551
R	KOG3552
M	KOG3553
B	KOG3554
R	KOG3555
R	KOG3556
T	KOG3557
T	KOG3558
K	KOG3558
K	KOG3559
K	KOG3560
K	KOG3561
K	KOG3562
K	KOG3563
R	KOG3564
Z	KOG3565
O	KOG3566
O	KOG3567
E	KOG3568
T	KOG3569
T	KOG3570
R	KOG3571
T	KOG3572
D	KOG3573
P	KOG3574
T	KOG3575
K	KOG3576
T	KOG3577
S	KOG3578
O	KOG3579
T	KOG3580
C	KOG3581
K	KOG3582
S	KOG3583
K	KOG3584
K	KOG3585
K	KOG3586
W	KOG3587
G	KOG3588
T	KOG3589
T	KOG3590
O	KOG3591
Z	KOG3592
T	KOG3593
S	KOG3594
Z	KOG3595
S	KOG3596
R	KOG3597
K	KOG3598
P	KOG3599
T	KOG3599
K	KOG3600
T	KOG3601
R	KOG3602
R	KOG3603
S	KOG3604
R	KOG3605
T	KOG3606
O	KOG3607
R	KOG3608
P	KOG3609
T	KOG3609
T	KOG3610
T	KOG3611
R	KOG3612
K	KOG3613
P	KOG3614
T	KOG3614
S	KOG3615
K	KOG3616
R	KOG3617
R	KOG3618
C	KOG3619
S	KOG3620
R	KOG3621
S	KOG3622
K	KOG3623
E	KOG3624
G	KOG3625
Q	KOG3626
E	KOG3627
R	KOG3628
T	KOG3629
Y	KOG3630
U	KOG3630
Z	KOG3631
T	KOG3632
Z	KOG3632
O	KOG3633
Z	KOG3634
G	KOG3635
R	KOG3636
W	KOG3637
T	KOG3638
R	KOG3639
D	KOG3640
Z	KOG3640
E	KOG3641
T	KOG3642
T	KOG3643
T	KOG3644
T	KOG3645
U	KOG3646
R	KOG3647
U	KOG3648
R	KOG3649
R	KOG3650
T	KOG3651
S	KOG3652
T	KOG3653
Z	KOG3654
Z	KOG3655
R	KOG3656
L	KOG3657
W	KOG3658
T	KOG3659
T	KOG3660
S	KOG3661
L	KOG3662
K	KOG3663
T	KOG3664
R	KOG3665
S	KOG3666
K	KOG3667
T	KOG3667
I	KOG3668
T	KOG3668
R	KOG3669
I	KOG3670
T	KOG3671
Z	KOG3671
R	KOG3672
A	KOG3673
A	KOG3674
R	KOG3675
P	KOG3676
T	KOG3676
J	KOG3677
K	KOG3677
W	KOG3678
R	KOG3679
S	KOG3680
W	KOG3681
S	KOG3682
S	KOG3683
P	KOG3684
S	KOG3685
T	KOG3686
D	KOG3687
T	KOG3687
T	KOG3688
T	KOG3689
E	KOG3690
U	KOG3691
S	KOG3692
S	KOG3693
D	KOG3694
S	KOG3695
O	KOG3696
T	KOG3697
O	KOG3698
T	KOG3699
Z	KOG3699
R	KOG3700
T	KOG3701
K	KOG3701
A	KOG3702
O	KOG3703
O	KOG3704
O	KOG3705
S	KOG3706
S	KOG3707
S	KOG3708
U	KOG3709
T	KOG3710
S	KOG3711
K	KOG3712
P	KOG3713
O	KOG3714
U	KOG3715
E	KOG3715
I	KOG3716
I	KOG3717
I	KOG3718
I	KOG3719
I	KOG3720
F	KOG3721
V	KOG3722
T	KOG3723
U	KOG3724
T	KOG3725
S	KOG3726
D	KOG3727
F	KOG3728
I	KOG3729
I	KOG3730
G	KOG3731
U	KOG3732
K	KOG3732
P	KOG3733
G	KOG3734
Z	KOG3735
O	KOG3736
O	KOG3737
O	KOG3738
T	KOG3739
S	KOG3740
A	KOG3741
G	KOG3742
K	KOG3743
S	KOG3744
U	KOG3745
S	KOG3746
F	KOG3747
P	KOG3747
S	KOG3748
C	KOG3749
I	KOG3750
T	KOG3751
L	KOG3752
T	KOG3753
H	KOG3754
K	KOG3755
Z	KOG3756
D	KOG3757
Z	KOG3757
S	KOG3758
T	KOG3759
G	KOG3760
I	KOG3761
R	KOG3762
A	KOG3763
U	KOG3764
G	KOG3765
K	KOG3766
R	KOG3767
R	KOG3768
J	KOG3769
I	KOG3770
U	KOG3771
D	KOG3772
U	KOG3773
T	KOG3774
T	KOG3775
T	KOG3776
S	KOG3777
S	KOG3778
K	KOG3779
R	KOG3780
W	KOG3781
R	KOG3782
S	KOG3783
R	KOG3784
T	KOG3784
U	KOG3784
S	KOG3785
K	KOG3786
E	KOG3787
P	KOG3788
P	KOG3789
S	KOG3790
J	KOG3791
T	KOG3791
R	KOG3792
K	KOG3793
K	KOG3794
S	KOG3795
U	KOG3796
R	KOG3796
T	KOG3797
R	KOG3798
U	KOG3799
O	KOG3800
A	KOG3801
K	KOG3802
K	KOG3803
K	KOG3804
K	KOG3805
K	KOG3806
R	KOG3807
S	KOG3808
Z	KOG3809
H	KOG3810
K	KOG3811
P	KOG3812
T	KOG3812
R	KOG3813
T	KOG3814
K	KOG3815
T	KOG3816
S	KOG3817
L	KOG3818
S	KOG3819
E	KOG3820
T	KOG3821
C	KOG3822
S	KOG3823
R	KOG3824
L	KOG3825
P	KOG3826
P	KOG3827
S	KOG3828
S	KOG3829
S	KOG3830
S	KOG3831
R	KOG3832
S	KOG3833
U	KOG3834
K	KOG3835
K	KOG3836
R	KOG3837
U	KOG3838
U	KOG3839
R	KOG3840
K	KOG3841
T	KOG3842
J	KOG3843
B	KOG3844
I	KOG3845
E	KOG3846
I	KOG3847
W	KOG3848
O	KOG3849
S	KOG3850
C	KOG3851
S	KOG3852
T	KOG3853
S	KOG3854
H	KOG3855
C	KOG3855
S	KOG3856
C	KOG3857
T	KOG3858
D	KOG3859
T	KOG3860
W	KOG3861
K	KOG3862
K	KOG3863
S	KOG3864
T	KOG3865
R	KOG3866
R	KOG3867
C	KOG3868
S	KOG3869
S	KOG3870
W	KOG3871
T	KOG3872
T	KOG3873
S	KOG3874
U	KOG3875
T	KOG3876
C	KOG3877
U	KOG3878
S	KOG3879
R	KOG3880
S	KOG3881
R	KOG3882
T	KOG3883
T	KOG3884
T	KOG3885
T	KOG3886
U	KOG3887
I	KOG3888
I	KOG3889
J	KOG3890
T	KOG3891
U	KOG3891
G	KOG3892
G	KOG3893
U	KOG3894
T	KOG3895
U	KOG3895
N	KOG3896
S	KOG3897
K	KOG3898
S	KOG3899
T	KOG3900
K	KOG3901
K	KOG3902
D	KOG3903
S	KOG3904
N	KOG3905
E	KOG3906
U	KOG3907
A	KOG3908
A	KOG3909
K	KOG3910
A	KOG3911
R	KOG3912
T	KOG3913
S	KOG3914
K	KOG3915
G	KOG3916
G	KOG3917
S	KOG3918
U	KOG3919
R	KOG3920
S	KOG3921
O	KOG3922
E	KOG3923
D	KOG3924
K	KOG3924
S	KOG3925
E	KOG3926
P	KOG3927
J	KOG3928
S	KOG3929
S	KOG3930
S	KOG3931
D	KOG3932
J	KOG3933
A	KOG3934
G	KOG3935
C	KOG3936
A	KOG3937
T	KOG3938
U	KOG3938
T	KOG3939
S	KOG3940
T	KOG3941
J	KOG3942
R	KOG3943
S	KOG3944
S	KOG3945
O	KOG3946
R	KOG3947
A	KOG3948
B	KOG3949
K	KOG3949
Z	KOG3950
S	KOG3951
S	KOG3952
R	KOG3953
C	KOG3954
M	KOG3955
G	KOG3955
O	KOG3956
U	KOG3956
T	KOG3956
I	KOG3956
V	KOG3956
I	KOG3957
Z	KOG3958
R	KOG3959
K	KOG3960
S	KOG3961
Z	KOG3962
T	KOG3963
I	KOG3964
S	KOG3965
T	KOG3966
V	KOG3966
S	KOG3967
F	KOG3968
Q	KOG3968
S	KOG3969
O	KOG3970
T	KOG3971
S	KOG3972
S	KOG3973
G	KOG3974
S	KOG3975
C	KOG3976
Z	KOG3977
S	KOG3978
T	KOG3979
A	KOG3980
F	KOG3981
K	KOG3982
U	KOG3983
F	KOG3984
F	KOG3985
O	KOG3986
T	KOG3986
S	KOG3987
O	KOG3988
W	KOG3989
S	KOG3990
S	KOG3991
S	KOG3992
K	KOG3993
S	KOG3994
E	KOG3995
C	KOG3996
O	KOG3996
L	KOG3997
U	KOG3998
D	KOG3999
L	KOG3999
S	KOG4000
Z	KOG4001
S	KOG4002
V	KOG4003
W	KOG4004
K	KOG4005
T	KOG4006
R	KOG4006
S	KOG4007
A	KOG4008
C	KOG4009
R	KOG4010
K	KOG4011
B	KOG4012
P	KOG4013
S	KOG4014
I	KOG4015
T	KOG4016
U	KOG4016
L	KOG4017
S	KOG4018
T	KOG4019
R	KOG4019
S	KOG4020
J	KOG4021
E	KOG4022
S	KOG4023
V	KOG4024
S	KOG4025
S	KOG4026
S	KOG4027
S	KOG4028
K	KOG4029
S	KOG4030
U	KOG4031
S	KOG4032
S	KOG4033
S	KOG4034
T	KOG4035
Z	KOG4035
S	KOG4036
U	KOG4037
T	KOG4037
T	KOG4038
T	KOG4039
C	KOG4040
O	KOG4041
T	KOG4041
U	KOG4042
Z	KOG4042
S	KOG4043
R	KOG4044
S	KOG4045
A	KOG4046
T	KOG4047
S	KOG4048
S	KOG4049
E	KOG4050
T	KOG4050
S	KOG4051
S	KOG4052
S	KOG4053
S	KOG4054
S	KOG4055
U	KOG4056
S	KOG4057
S	KOG4058
S	KOG4059
S	KOG4060
R	KOG4061
L	KOG4062
S	KOG4063
E	KOG4064
S	KOG4065
S	KOG4066
S	KOG4067
S	KOG4068
S	KOG4069
R	KOG4070
T	KOG4070
S	KOG4071
U	KOG4072
K	KOG4073
S	KOG4074
C	KOG4075
T	KOG4076
U	KOG4076
C	KOG4077
J	KOG4078
J	KOG4079
J	KOG4080
N	KOG4081
S	KOG4082
K	KOG4083
R	KOG4084
S	KOG4085
K	KOG4086
L	KOG4086
I	KOG4087
U	KOG4088
J	KOG4089
S	KOG4090
K	KOG4091
C	KOG4092
S	KOG4093
S	KOG4094
R	KOG4095
S	KOG4096
C	KOG4097
U	KOG4097
O	KOG4098
S	KOG4099
S	KOG4100
R	KOG4101
S	KOG4102
C	KOG4103
T	KOG4104
H	KOG4105
S	KOG4106
T	KOG4107
N	KOG4108
K	KOG4109
C	KOG4110
U	KOG4111
U	KOG4112
T	KOG4113
U	KOG4113
O	KOG4114
D	KOG4115
N	KOG4115
C	KOG4116
K	KOG4117
O	KOG4117
S	KOG4118
T	KOG4119
L	KOG4120
Y	KOG4121
U	KOG4121
J	KOG4122
G	KOG4123
K	KOG4124
D	KOG4124
G	KOG4125
P	KOG4126
O	KOG4127
E	KOG4128
C	KOG4129
O	KOG4130
R	KOG4131
H	KOG4132
J	KOG4133
K	KOG4134
G	KOG4135
T	KOG4136
I	KOG4136
S	KOG4137
R	KOG4138
L	KOG4139
D	KOG4139
B	KOG4140
L	KOG4141
I	KOG4142
T	KOG4143
R	KOG4144
F	KOG4145
O	KOG4146
S	KOG4147
S	KOG4148
S	KOG4149
A	KOG4150
O	KOG4151
D	KOG4151
R	KOG4151
D	KOG4152
K	KOG4152
G	KOG4153
R	KOG4154
R	KOG4155
D	KOG4156
T	KOG4156
G	KOG4157
O	KOG4157
T	KOG4158
O	KOG4159
V	KOG4160
K	KOG4161
B	KOG4161
T	KOG4162
J	KOG4163
D	KOG4164
E	KOG4165
E	KOG4166
H	KOG4166
K	KOG4167
K	KOG4168
I	KOG4169
R	KOG4169
I	KOG4170
F	KOG4171
O	KOG4172
U	KOG4173
S	KOG4174
E	KOG4175
S	KOG4176
M	KOG4177
I	KOG4178
O	KOG4179
R	KOG4180
S	KOG4181
S	KOG4182
K	KOG4183
G	KOG4184
R	KOG4184
O	KOG4185
U	KOG4186
O	KOG4187
U	KOG4187
S	KOG4188
S	KOG4189
S	KOG4190
B	KOG4191
S	KOG4192
T	KOG4193
T	KOG4194
P	KOG4195
K	KOG4196
R	KOG4197
R	KOG4198
S	KOG4199
S	KOG4200
E	KOG4201
E	KOG4202
T	KOG4203
Z	KOG4203
B	KOG4204
A	KOG4205
A	KOG4206
A	KOG4207
R	KOG4208
A	KOG4209
K	KOG4210
A	KOG4211
A	KOG4212
A	KOG4213
K	KOG4214
K	KOG4215
K	KOG4216
K	KOG4217
K	KOG4218
T	KOG4219
T	KOG4220
T	KOG4221
T	KOG4222
T	KOG4223
U	KOG4223
U	KOG4224
T	KOG4225
T	KOG4226
R	KOG4227
T	KOG4228
N	KOG4229
H	KOG4230
I	KOG4231
I	KOG4232
B	KOG4233
L	KOG4233
R	KOG4234
F	KOG4235
T	KOG4236
W	KOG4237
T	KOG4237
F	KOG4238
T	KOG4239
T	KOG4240
J	KOG4241
N	KOG4242
V	KOG4243
T	KOG4244
R	KOG4245
R	KOG4246
L	KOG4247
O	KOG4248
S	KOG4249
T	KOG4250
R	KOG4251
T	KOG4252
R	KOG4253
H	KOG4254
S	KOG4255
D	KOG4256
T	KOG4257
T	KOG4258
D	KOG4259
S	KOG4260
Z	KOG4261
S	KOG4262
T	KOG4263
R	KOG4264
O	KOG4265
O	KOG4266
S	KOG4267
S	KOG4268
T	KOG4269
T	KOG4270
T	KOG4271
R	KOG4272
S	KOG4273
K	KOG4274
O	KOG4275
R	KOG4276
R	KOG4277
T	KOG4278
T	KOG4279
Z	KOG4280
S	KOG4281
K	KOG4282
K	KOG4283
L	KOG4283
K	KOG4284
D	KOG4285
N	KOG4286
T	KOG4286
Z	KOG4286
M	KOG4287
R	KOG4288
T	KOG4289
S	KOG4290
W	KOG4291
H	KOG4292
T	KOG4293
P	KOG4294
T	KOG4294
O	KOG4295
T	KOG4296
T	KOG4297
V	KOG4297
A	KOG4298
R	KOG4299
R	KOG4300
Z	KOG4301
D	KOG4302
Z	KOG4302
E	KOG4303
T	KOG4303
K	KOG4304
T	KOG4305
T	KOG4306
R	KOG4307
S	KOG4308
K	KOG4309
U	KOG4310
E	KOG4311
R	KOG4312
F	KOG4313
R	KOG4314
R	KOG4315
S	KOG4316
S	KOG4317
A	KOG4318
K	KOG4319
S	KOG4320
I	KOG4321
D	KOG4322
O	KOG4322
R	KOG4323
U	KOG4324
S	KOG4325
C	KOG4326
A	KOG4327
S	KOG4328
R	KOG4329
S	KOG4330
R	KOG4331
G	KOG4332
D	KOG4333
K	KOG4333
R	KOG4334
T	KOG4335
K	KOG4336
I	KOG4337
U	KOG4337
I	KOG4338
R	KOG4339
S	KOG4340
R	KOG4341
G	KOG4342
K	KOG4343
S	KOG4344
T	KOG4345
S	KOG4346
R	KOG4347
T	KOG4348
S	KOG4349
R	KOG4350
S	KOG4351
T	KOG4352
A	KOG4353
E	KOG4354
R	KOG4355
S	KOG4356
R	KOG4357
S	KOG4358
R	KOG4359
S	KOG4360
T	KOG4361
L	KOG4362
K	KOG4362
T	KOG4363
B	KOG4364
S	KOG4365
R	KOG4366
S	KOG4367
R	KOG4368
T	KOG4369
T	KOG4370
T	KOG4371
R	KOG4372
R	KOG4373
A	KOG4374
T	KOG4375
S	KOG4376
R	KOG4377
T	KOG4378
S	KOG4379
R	KOG4380
T	KOG4381
S	KOG4382
S	KOG4383
R	KOG4384
K	KOG4385
S	KOG4386
E	KOG4387
I	KOG4388
T	KOG4389
P	KOG4390
R	KOG4391
K	KOG4392
A	KOG4393
J	KOG4393
A	KOG4394
K	KOG4395
S	KOG4396
S	KOG4397
R	KOG4398
R	KOG4399
O	KOG4400
S	KOG4401
S	KOG4402
R	KOG4403
P	KOG4404
T	KOG4405
U	KOG4405
T	KOG4406
Z	KOG4406
R	KOG4407
P	KOG4408
R	KOG4409
H	KOG4410
I	KOG4411
O	KOG4412
O	KOG4413
O	KOG4414
T	KOG4414
S	KOG4415
S	KOG4416
R	KOG4417
S	KOG4418
F	KOG4419
S	KOG4420
S	KOG4421
S	KOG4422
T	KOG4423
T	KOG4424
S	KOG4425
J	KOG4426
O	KOG4427
T	KOG4428
R	KOG4429
K	KOG4430
R	KOG4431
R	KOG4432
R	KOG4433
U	KOG4434
O	KOG4434
I	KOG4435
T	KOG4435
R	KOG4436
L	KOG4437
D	KOG4438
K	KOG4439
L	KOG4439
P	KOG4440
E	KOG4440
T	KOG4440
T	KOG4441
R	KOG4441
U	KOG4442
R	KOG4443
M	KOG4444
U	KOG4444
S	KOG4445
S	KOG4446
K	KOG4447
S	KOG4448
U	KOG4449
S	KOG4450
S	KOG4451
S	KOG4452
S	KOG4453
R	KOG4454
S	KOG4455
D	KOG4456
S	KOG4457
T	KOG4458
S	KOG4459
Y	KOG4460
U	KOG4460
J	KOG4461
Z	KOG4462
S	KOG4463
T	KOG4464
S	KOG4465
D	KOG4466
K	KOG4466
S	KOG4467
K	KOG4468
S	KOG4469
O	KOG4470
I	KOG4471
U	KOG4471
G	KOG4472
S	KOG4473
S	KOG4474
R	KOG4475
P	KOG4475
T	KOG4476
G	KOG4476
K	KOG4477
S	KOG4478
K	KOG4479
P	KOG4480
S	KOG4481
S	KOG4482
S	KOG4483
S	KOG4484
R	KOG4485
L	KOG4486
S	KOG4487
R	KOG4488
S	KOG4489
U	KOG4490
S	KOG4491
E	KOG4492
S	KOG4493
F	KOG4494
K	KOG4495
S	KOG4496
R	KOG4497
S	KOG4498
P	KOG4499
T	KOG4499
T	KOG4500
K	KOG4501
S	KOG4502
S	KOG4503
T	KOG4504
U	KOG4504
P	KOG4505
S	KOG4506
S	KOG4507
S	KOG4508
S	KOG4509
R	KOG4510
S	KOG4511
K	KOG4512
T	KOG4512
G	KOG4513
S	KOG4514
S	KOG4515
C	KOG4516
S	KOG4517
G	KOG4518
I	KOG4519
R	KOG4520
Y	KOG4521
U	KOG4521
K	KOG4522
S	KOG4523
S	KOG4524
R	KOG4525
S	KOG4526
C	KOG4527
S	KOG4528
S	KOG4529
R	KOG4530
D	KOG4531
R	KOG4532
S	KOG4533
S	KOG4534
R	KOG4535
S	KOG4536
D	KOG4537
V	KOG4537
R	KOG4538
S	KOG4539
U	KOG4540
I	KOG4540
Y	KOG4541
U	KOG4541
S	KOG4542
S	KOG4543
S	KOG4544
S	KOG4545
U	KOG4546
R	KOG4547
J	KOG4548
R	KOG4549
S	KOG4550
M	KOG4551
O	KOG4551
K	KOG4552
S	KOG4553
P	KOG4554
S	KOG4555
S	KOG4556
L	KOG4557
S	KOG4558
S	KOG4559
K	KOG4560
T	KOG4561
R	KOG4561
S	KOG4562
B	KOG4563
D	KOG4563
T	KOG4564
K	KOG4565
T	KOG4566
R	KOG4567
Z	KOG4568
R	KOG4568
I	KOG4569
S	KOG4570
K	KOG4571
K	KOG4572
R	KOG4572
T	KOG4572
U	KOG4573
R	KOG4574
D	KOG4575
C	KOG4576
K	KOG4577
R	KOG4578
R	KOG4579
U	KOG4580
O	KOG4580
S	KOG4581
R	KOG4582
O	KOG4583
R	KOG4584
L	KOG4585
R	KOG4586
S	KOG4587
O	KOG4588
D	KOG4589
T	KOG4590
R	KOG4591
S	KOG4592
D	KOG4593
L	KOG4594
K	KOG4594
R	KOG4594
S	KOG4595
S	KOG4596
O	KOG4597
O	KOG4598
J	KOG4599
J	KOG4600
S	KOG4601
R	KOG4602
T	KOG4603
S	KOG4604
S	KOG4605
S	KOG4606
J	KOG4607
S	KOG4608
R	KOG4609
S	KOG4610
S	KOG4611
J	KOG4612
R	KOG4613
D	KOG4613
O	KOG4614
S	KOG4615
J	KOG4616
S	KOG4617
S	KOG4618
S	KOG4619
S	KOG4620
S	KOG4621
R	KOG4622
S	KOG4623
S	KOG4624
T	KOG4625
G	KOG4626
O	KOG4626
T	KOG4626
E	KOG4627
O	KOG4628
M	KOG4629
C	KOG4630
C	KOG4631
C	KOG4632
C	KOG4633
C	KOG4634
U	KOG4635
S	KOG4636
T	KOG4637
S	KOG4638
J	KOG4639
D	KOG4640
O	KOG4640
T	KOG4641
O	KOG4642
S	KOG4643
G	KOG4644
T	KOG4645
S	KOG4646
S	KOG4647
S	KOG4648
Q	KOG4649
R	KOG4650
M	KOG4651
W	KOG4651
B	KOG4652
S	KOG4653
S	KOG4654
A	KOG4655
P	KOG4656
S	KOG4657
T	KOG4658
S	KOG4659
D	KOG4660
K	KOG4661
C	KOG4662
C	KOG4663
C	KOG4664
C	KOG4665
I	KOG4666
I	KOG4667
C	KOG4668
C	KOG4669
S	KOG4670
R	KOG4671
S	KOG4672
K	KOG4673
S	KOG4674
R	KOG4675
A	KOG4676
U	KOG4677
R	KOG4677
R	KOG4678
R	KOG4679
R	KOG4680
S	KOG4681
R	KOG4682
S	KOG4683
R	KOG4684
J	KOG4685
G	KOG4686
