KOG	KOGID
K	KOG0485
K	KOG0486
K	KOG0487
R	KOG0488
R	KOG0489
R	KOG0490
R	KOG0491
R	KOG0492
R	KOG0493
R	KOG0494
A	KOG0495
G	KOG0496
I	KOG0497
P	KOG0498
T	KOG0498
P	KOG0499
T	KOG0499
P	KOG0500
T	KOG0500
P	KOG0501
R	KOG0502
E	KOG0503
R	KOG0504
O	KOG0505
T	KOG0505
E	KOG0506
T	KOG0507
R	KOG0508
R	KOG0509
R	KOG0510
R	KOG0511
K	KOG0512
I	KOG0513
R	KOG0514
D	KOG0515
Z	KOG0516
Z	KOG0517
Z	KOG0518
T	KOG0519
S	KOG0520
T	KOG0521
R	KOG0522
G	KOG0523
C	KOG0524
C	KOG0525
K	KOG0526
L	KOG0526
B	KOG0526
K	KOG0527
K	KOG0528
O	KOG0529
O	KOG0530
T	KOG0531
Z	KOG0532
A	KOG0533
H	KOG0534
C	KOG0534
C	KOG0535
C	KOG0536
C	KOG0537
C	KOG0538
I	KOG0539
E	KOG0540
I	KOG0540
O	KOG0541
L	KOG0542
O	KOG0543
O	KOG0544
O	KOG0545
O	KOG0546
U	KOG0547
O	KOG0548
O	KOG0549
O	KOG0550
O	KOG0551
O	KOG0552
R	KOG0553
J	KOG0554
J	KOG0555
J	KOG0556
C	KOG0557
C	KOG0558
C	KOG0559
P	KOG0560
K	KOG0561
R	KOG0562
G	KOG0563
E	KOG0564
U	KOG0565
U	KOG0566
R	KOG0567
O	KOG0568
G	KOG0569
K	KOG0570
E	KOG0571
F	KOG0572
E	KOG0573
T	KOG0574
D	KOG0575
T	KOG0576
T	KOG0577
T	KOG0578
T	KOG0579
D	KOG0580
T	KOG0581
T	KOG0582
T	KOG0583
R	KOG0584
T	KOG0585
R	KOG0586
T	KOG0587
D	KOG0588
R	KOG0589
D	KOG0590
D	KOG0591
T	KOG0592
R	KOG0593
R	KOG0594
O	KOG0595
U	KOG0595
T	KOG0595
D	KOG0596
R	KOG0597
R	KOG0598
T	KOG0598
G	KOG0599
D	KOG0600
D	KOG0601
G	KOG0602
T	KOG0603
T	KOG0604
R	KOG0605
T	KOG0606
R	KOG0606
T	KOG0607
D	KOG0608
T	KOG0609
R	KOG0610
R	KOG0611
T	KOG0612
Z	KOG0613
T	KOG0614
D	KOG0615
T	KOG0616
T	KOG0617
T	KOG0618
R	KOG0619
K	KOG0620
M	KOG0621
E	KOG0622
E	KOG0623
V	KOG0624
G	KOG0625
G	KOG0626
K	KOG0627
E	KOG0628
E	KOG0629
E	KOG0630
G	KOG0631
P	KOG0632
E	KOG0633
E	KOG0634
P	KOG0635
P	KOG0636
G	KOG0637
E	KOG0638
B	KOG0639
A	KOG0640
R	KOG0641
D	KOG0642
J	KOG0643
T	KOG0643
R	KOG0644
R	KOG0645
R	KOG0646
A	KOG0647
T	KOG0648
R	KOG0649
J	KOG0650
O	KOG0651
O	KOG0652
D	KOG0653
D	KOG0654
D	KOG0655
D	KOG0656
G	KOG0657
G	KOG0658
D	KOG0659
K	KOG0659
L	KOG0659
T	KOG0660
T	KOG0661
U	KOG0662
T	KOG0662
R	KOG0663
T	KOG0664
T	KOG0665
K	KOG0666
R	KOG0667
T	KOG0668
D	KOG0668
K	KOG0668
D	KOG0669
A	KOG0670
T	KOG0671
P	KOG0672
D	KOG0672
F	KOG0673
O	KOG0674
O	KOG0675
Z	KOG0676
Z	KOG0677
Z	KOG0678
Z	KOG0679
Z	KOG0680
Z	KOG0681
P	KOG0682
E	KOG0683
Q	KOG0684
H	KOG0685
O	KOG0686
T	KOG0686
O	KOG0687
J	KOG0688
T	KOG0689
T	KOG0690
O	KOG0691
E	KOG0692
I	KOG0693
T	KOG0694
T	KOG0695
T	KOG0696
T	KOG0697
T	KOG0698
T	KOG0699
T	KOG0700
A	KOG0701
T	KOG0702
T	KOG0703
T	KOG0704
U	KOG0704
Z	KOG0704
T	KOG0705
T	KOG0706
F	KOG0707
F	KOG0708
K	KOG0709
O	KOG0710
H	KOG0711
O	KOG0712
O	KOG0713
O	KOG0714
O	KOG0715
O	KOG0716
O	KOG0717
O	KOG0718
O	KOG0719
O	KOG0720
O	KOG0721
O	KOG0722
O	KOG0723
O	KOG0724
R	KOG0725
O	KOG0726
O	KOG0727
O	KOG0728
O	KOG0729
O	KOG0730
O	KOG0731
O	KOG0732
O	KOG0733
O	KOG0734
O	KOG0735
O	KOG0736
O	KOG0737
O	KOG0738
O	KOG0739
O	KOG0740
O	KOG0741
O	KOG0742
O	KOG0743
O	KOG0744
O	KOG0745
J	KOG0746
G	KOG0747
R	KOG0748
T	KOG0748
C	KOG0749
C	KOG0750
C	KOG0751
C	KOG0752
C	KOG0753
C	KOG0754
C	KOG0755
C	KOG0756
C	KOG0757
C	KOG0758
C	KOG0759
C	KOG0760
C	KOG0761
C	KOG0762
C	KOG0763
C	KOG0764
C	KOG0765
C	KOG0766
C	KOG0767
C	KOG0768
C	KOG0769
C	KOG0770
U	KOG0771
S	KOG0772
K	KOG0773
K	KOG0774
K	KOG0775
H	KOG0776
H	KOG0777
O	KOG0778
O	KOG0779
U	KOG0780
U	KOG0781
T	KOG0782
S	KOG0783
E	KOG0784
E	KOG0785
E	KOG0786
T	KOG0787
T	KOG0788
T	KOG0789
T	KOG0790
T	KOG0791
T	KOG0792
T	KOG0793
K	KOG0794
E	KOG0795
A	KOG0796
Z	KOG0797
D	KOG0798
G	KOG0799
O	KOG0800
O	KOG0801
O	KOG0802
O	KOG0803
R	KOG0804
E	KOG0805
E	KOG0806
E	KOG0807
E	KOG0808
U	KOG0809
U	KOG0810
U	KOG0811
U	KOG0812
R	KOG0813
R	KOG0814
J	KOG0815
A	KOG0816
I	KOG0817
T	KOG0818
U	KOG0819
A	KOG0820
A	KOG0821
D	KOG0822
O	KOG0823
O	KOG0824
R	KOG0825
O	KOG0826
O	KOG0827
O	KOG0828
J	KOG0829
J	KOG0830
I	KOG0831
J	KOG0832
F	KOG0833
D	KOG0834
R	KOG0835
Z	KOG0836
K	KOG0837
A	KOG0838
A	KOG0839
O	KOG0840
O	KOG0841
K	KOG0842
K	KOG0843
K	KOG0844
Y	KOG0845
U	KOG0845
J	KOG0846
K	KOG0847
K	KOG0848
K	KOG0849
K	KOG0850
L	KOG0851
O	KOG0852
M	KOG0853
O	KOG0854
O	KOG0855
O	KOG0856
J	KOG0857
S	KOG0858
U	KOG0859
U	KOG0860
U	KOG0861
U	KOG0862
O	KOG0863
U	KOG0864
O	KOG0865
U	KOG0866
O	KOG0867
O	KOG0868
K	KOG0869
K	KOG0870
K	KOG0871
I	KOG0872
